;UG;LOC;DA;TTAEF;TTAEM;TTREF;TTREM;TTABEF;TTABEM
0;Brasil;Total;Total;98,2;95,0;0,8;2,7;1,0;2,3
1;Brasil;Urbana;Total;98,2;95,0;0,8;2,7;1,0;2,3
2;Brasil;Rural;Total;98,1;95,0;0,7;2,6;1,2;2,4
3;Brasil;Total;Federal;99,2;88,2;0,8;10,0;0,0;1,8
4;Brasil;Urbana;Federal;99,2;89,2;0,8;9,1;0,0;1,7
5;Brasil;Rural;Federal;100,0;82,5;0,0;15,2;0,0;2,3
6;Brasil;Total;Estadual;97,7;94,6;1,3;2,8;1,0;2,6
7;Brasil;Urbana;Estadual;97,7;94,5;1,3;2,9;1,0;2,6
8;Brasil;Rural;Estadual;97,0;96,0;1,1;1,6;1,9;2,4
9;Brasil;Total;Municipal;98,6;97,2;0,6;1,3;0,8;1,5
10;Brasil;Urbana;Municipal;98,8;97,4;0,6;1,3;0,6;1,3
11;Brasil;Rural;Municipal;98,2;96,0;0,6;1,2;1,2;2,8
12;Brasil;Total;Privada;97,3;98,8;0,7;0,7;2,0;0,5
13;Brasil;Urbana;Privada;97,3;98,9;0,7;0,7;2,0;0,4
14;Brasil;Rural;Privada;96,4;93,8;1,7;2,0;1,9;4,2
15;Brasil;Total;Pública;98,4;94,4;0,8;3,0;0,8;2,6
16;Brasil;Urbana;Pública;98,4;94,4;0,8;3,1;0,8;2,5
17;Brasil;Rural;Pública;98,1;95,1;0,7;2,6;1,2;2,3
18;Norte;Total;Total;97,8;96,9;0,8;2,0;1,4;1,1
19;Norte;Urbana;Total;98,1;96,9;0,8;2,1;1,1;1,0
20;Norte;Rural;Total;97,0;96,9;0,8;1,5;2,2;1,6
21;Norte;Total;Federal;99,6;88,3;0,4;11,0;0,0;0,7
22;Norte;Urbana;Federal;99,6;89,5;0,4;9,7;0,0;0,8
23;Norte;Rural;Federal;;81,9;;17,6;;0,5
24;Norte;Total;Estadual;97,6;97,0;1,2;1,8;1,2;1,2
25;Norte;Urbana;Estadual;98,1;97,0;1,2;1,9;0,7;1,1
26;Norte;Rural;Estadual;94,1;97,5;1,0;1,0;4,9;1,5
27;Norte;Total;Municipal;98,0;97,6;0,7;0,0;1,3;2,4
28;Norte;Urbana;Municipal;98,4;97,6;0,6;0,0;1,0;2,4
29;Norte;Rural;Municipal;97,4;;0,8;;1,8;
30;Norte;Total;Privada;96,6;98,1;0,6;0,8;2,8;1,1
31;Norte;Urbana;Privada;96,5;98,3;0,6;0,8;2,9;0,9
32;Norte;Rural;Privada;97,2;94,3;1,8;0,8;1,0;4,9
33;Norte;Total;Pública;97,9;96,8;0,8;2,1;1,3;1,1
34;Norte;Urbana;Pública;98,3;96,8;0,8;2,2;0,9;1,0
35;Norte;Rural;Pública;97,0;97,0;0,8;1,6;2,2;1,4
36;Nordeste;Total;Total;97,8;97,0;0,5;0,8;1,7;2,2
37;Nordeste;Urbana;Total;97,6;97,2;0,5;0,8;1,9;2,0
38;Nordeste;Rural;Total;98,3;95,3;0,6;1,5;1,1;3,2
39;Nordeste;Total;Federal;99,4;85,3;0,4;11,7;0,2;3,0
40;Nordeste;Urbana;Federal;99,4;85,9;0,4;11,0;0,2;3,1
41;Nordeste;Rural;Federal;100,0;80,9;0,0;16,0;0,0;3,1
